iddueno,numregistro,Frecesion,FAdquisicion
173,67,22/05/2004,31/08/2010
258,80,22/12/2002,06/09/2006
253,87,10/01/2001,13/01/2010
237,86,24/12/2003,22/11/2010
79,43,30/09/2002,24/04/2010
145,1,18/03/2002,03/08/2006
43,18,02/04/2001,12/04/2015
291,25,07/09/2003,03/09/2008
73,20,24/07/2002,01/12/2014
188,67,03/06/2004,13/10/2005
218,30,18/09/2000,16/01/2007
13,57,25/11/2001,09/03/2007
65,94,27/06/2001,23/07/2010
293,57,04/01/2001,18/02/2007
295,59,06/11/2002,03/09/2006
124,2,14/03/2001,25/02/2008
225,65,09/10/2001,12/12/2006
7,17,19/08/2003,15/10/2012
140,81,28/09/2003,03/06/2007
203,17,01/11/2002,25/04/2007
121,68,27/12/2000,30/06/2010
177,5,01/04/2004,23/04/2015
224,56,30/10/2003,05/03/2007
187,99,06/07/2000,30/06/2010
274,50,15/01/2002,31/01/2007
247,91,29/01/2002,13/01/2015
92,72,12/10/2001,21/02/2015
107,59,21/12/2002,15/08/2006
167,50,03/02/2001,12/11/2006
168,4,31/07/2001,15/06/2014
162,9,13/10/2002,05/09/2011
287,38,18/01/2001,11/11/2008
189,87,04/07/2001,29/01/2013
52,23,22/03/2001,17/10/2014
262,61,28/10/2002,05/02/2015
218,99,28/12/2002,06/09/2014
174,25,06/12/2002,10/06/2011
195,7,26/02/2001,05/02/2012
80,56,14/08/2001,17/02/2006
158,14,09/04/2002,02/08/2011
166,8,27/11/2003,17/06/2006
148,60,06/11/2000,17/12/2008
167,72,01/05/2002,25/05/2013
123,77,22/01/2002,18/11/2012
253,67,25/04/2004,15/04/2011
150,62,29/01/2002,07/02/2015
270,46,21/06/2001,21/03/2006
288,87,13/08/2000,31/08/2005
166,22,04/01/2002,05/06/2006
227,87,06/05/2003,22/10/2006
178,58,05/10/2000,31/12/2005
27,87,28/05/2003,30/11/2007
103,15,21/09/2002,02/09/2012
32,27,18/12/2000,10/01/2007
150,79,16/10/2001,21/04/2011
203,38,05/01/2002,16/01/2009
212,50,15/03/2003,31/10/2013
53,72,08/05/2001,19/02/2007
2,43,28/06/2000,24/03/2009
230,86,19/02/2001,29/08/2007
264,93,22/10/2001,20/03/2006
1,12,13/11/2000,21/09/2009
62,56,15/09/2000,06/07/2011
134,59,15/01/2002,06/03/2009
220,1,03/02/2004,07/06/2013
210,37,14/06/2003,29/10/2007
161,30,15/10/2003,02/01/2015
220,24,14/07/2000,07/03/2008
224,88,06/07/2002,19/03/2013
47,66,31/07/2000,26/09/2006
180,6,08/11/2000,07/06/2011
84,45,03/02/2004,17/05/2008
124,49,21/12/2003,21/04/2007
115,10,01/01/2001,29/12/2014
63,36,15/12/2003,31/10/2005
16,72,03/09/2000,08/06/2009
108,75,24/11/2001,04/05/2007
26,31,11/02/2002,12/08/2005
218,37,14/11/2000,31/12/2014
143,84,23/06/2003,08/09/2011
70,73,01/11/2001,22/11/2010
128,69,21/04/2002,18/12/2011
134,67,16/09/2000,30/07/2007
74,66,08/12/2000,23/02/2007
196,27,22/03/2001,26/04/2014
244,68,25/02/2002,18/07/2010
155,54,01/07/2003,15/07/2011
55,46,19/06/2000,26/09/2014
205,30,27/01/2003,20/06/2009
298,14,30/03/2004,27/06/2010
210,99,12/01/2002,16/10/2005
200,90,10/07/2000,17/02/2008
218,27,28/08/2001,03/09/2013
117,53,05/10/2000,26/03/2006
85,71,05/06/2002,21/07/2007
17,87,31/01/2002,26/05/2006
161,34,04/02/2004,26/05/2011
121,73,26/04/2003,03/09/2009
82,22,07/07/2002,05/06/2009
125,98,27/09/2002,01/12/2006
117,10,18/10/2001,29/08/2011
118,40,09/09/2002,16/06/2006
54,52,09/11/2001,28/10/2005
287,4,22/02/2002,14/06/2014
27,30,15/07/2002,25/06/2009
134,17,15/05/2002,20/01/2013
239,58,22/07/2001,09/05/2014
69,99,10/09/2001,30/07/2010
33,56,06/01/2001,15/02/2015
285,49,08/07/2003,02/04/2013
35,96,11/05/2001,02/05/2015
44,26,24/03/2002,12/08/2011
176,34,06/02/2004,17/06/2009
174,93,18/01/2002,09/08/2010
12,66,11/12/2003,24/08/2008
128,68,06/04/2002,22/12/2011
278,88,20/06/2000,05/11/2013
162,66,21/09/2003,29/06/2008
18,34,03/09/2003,01/06/2013
1,77,04/10/2000,06/02/2006
171,14,15/08/2002,14/05/2012
167,41,24/09/2000,05/03/2013
261,1,29/11/2000,09/02/2015
226,64,24/09/2002,23/04/2009
73,57,16/08/2001,03/11/2007
187,43,28/06/2003,16/01/2013
249,75,29/12/2000,07/12/2014
217,48,20/05/2002,05/02/2007
293,90,12/05/2003,25/07/2008
22,68,10/05/2001,22/01/2012
134,52,18/07/2000,01/10/2011
285,100,10/05/2002,13/10/2010
189,8,01/12/2002,09/12/2007
252,64,09/06/2003,27/12/2012
16,30,25/10/2003,08/01/2006
173,71,24/07/2003,21/10/2012
278,10,09/08/2002,24/06/2006
236,33,21/12/2001,15/09/2013
186,41,06/05/2002,10/05/2006
102,59,28/10/2000,17/02/2015
232,16,12/06/2001,24/04/2008
230,85,03/11/2003,30/11/2011
251,58,22/05/2001,02/03/2011
163,81,18/02/2002,08/10/2012
62,91,28/07/2002,18/02/2009
137,92,24/12/2000,14/07/2011
17,47,09/04/2004,20/05/2014
20,21,21/09/2001,15/07/2014
52,88,30/03/2003,09/04/2012
24,28,04/07/2002,30/07/2008
214,59,01/01/2004,27/09/2013
107,56,19/01/2003,04/06/2009
281,53,08/10/2002,01/04/2015
56,82,03/09/2003,29/12/2007
222,11,11/12/2003,16/12/2014
91,59,09/01/2003,11/08/2011
195,7,12/11/2003,03/08/2013
213,78,23/04/2004,30/06/2006
157,54,18/12/2002,28/09/2007
197,8,16/08/2002,10/01/2009
288,91,19/11/2001,28/05/2010
14,82,01/10/2003,15/12/2014
228,3,02/12/2002,09/03/2012
259,55,04/11/2001,20/02/2007
238,31,24/11/2001,25/07/2008
222,19,02/03/2002,11/07/2010
217,31,05/01/2001,24/04/2013
120,48,31/12/2000,20/05/2014
95,73,20/01/2004,17/07/2011
110,34,21/10/2001,01/09/2012
299,2,08/11/2001,17/05/2012
260,24,27/01/2003,10/05/2007
78,40,04/01/2003,05/12/2010
85,33,02/04/2003,23/11/2006
285,22,10/03/2002,28/12/2007
221,55,18/04/2003,15/04/2013
244,32,22/08/2003,28/07/2011
208,55,03/01/2002,11/05/2009
154,72,25/11/2002,12/12/2011
54,72,25/08/2002,20/09/2006
217,100,04/03/2004,18/04/2007
68,5,26/11/2003,23/06/2014
15,89,27/02/2004,12/11/2005
