idventa,numregistro,iddueno,idasesor,FAquisicion,ValorPropiedad
1,97,165,40,09/06/2004,1405733
2,6,32,6,17/08/2009,5541411
3,44,252,3,03/12/2011,6608061
4,79,11,7,01/12/2016,4594888
5,16,13,16,25/01/2013,1878395
6,58,147,7,02/11/2014,858535
7,59,41,32,26/12/2008,3484854
8,62,208,36,20/10/2013,4440092
9,34,168,28,20/01/2002,539361
10,1,117,30,27/08/2005,3446256
11,44,249,3,13/06/2004,6631990
12,79,60,1,03/03/2004,2885655
13,71,263,24,18/06/2007,2235600
14,92,156,26,11/04/2014,1796549
15,23,118,39,29/01/2008,8813588
16,1,236,33,26/06/2000,2428397
17,78,145,19,01/02/2008,9867162
18,51,98,21,17/01/2012,4163723
19,51,196,30,24/01/2013,7755350
20,80,177,21,03/09/2008,6404291
21,71,177,8,07/09/2010,6145635
22,69,163,31,21/04/2013,3523545
23,98,59,48,04/12/2009,5477608
24,53,228,10,17/11/2015,6888248
25,25,33,19,20/11/2009,6544012
26,2,221,47,16/12/2004,2013662
27,16,256,27,21/05/2009,9444433
28,41,168,12,04/10/2000,6547140
29,3,290,39,26/08/2005,2553592
30,68,239,16,08/11/2010,3856044
31,36,18,44,02/11/2013,3259885
32,69,12,36,16/08/2011,3835705
33,87,244,20,08/01/2005,5235304
34,16,196,39,08/06/2004,963851
35,25,76,31,21/11/2007,8648490
36,24,247,46,15/09/2003,634819
37,4,284,17,09/08/2004,5164277
38,13,20,12,22/10/2010,3371291
39,9,118,13,03/10/2013,6341624
40,78,266,15,28/01/2012,7031009
41,97,270,41,18/10/2003,4769057
42,90,114,10,01/08/2006,9185755
43,61,111,43,16/02/2011,584689
44,2,247,43,12/08/2004,3114469
45,98,265,37,04/11/2000,2046907
46,85,175,39,13/02/2016,5024116
47,65,274,50,11/03/2014,1241226
48,70,144,45,26/03/2014,5611045
49,39,230,49,08/07/2009,8155437
50,29,196,34,10/09/2000,1899083
51,79,171,42,26/06/2011,8375722
52,51,156,17,18/10/2009,1654912
53,29,81,49,23/03/2012,4515370
54,68,49,30,09/09/2015,3408622
55,87,138,8,09/09/2006,1504186
56,46,236,33,04/03/2004,2003265
57,54,17,44,30/05/2009,7610157
58,56,71,45,15/08/2016,2739361
59,98,264,19,16/04/2012,500503
60,46,142,27,20/10/2014,9275928
61,61,117,39,15/10/2000,6709273
62,53,172,19,01/08/2006,2084114
63,7,198,35,12/03/2015,4825663
64,88,11,27,24/05/2016,5684374
65,84,276,33,18/04/2012,1135857
66,6,168,32,28/04/2015,1075543
67,18,279,17,31/07/2016,6261139
68,6,109,7,28/05/2002,2208683
69,67,165,15,18/01/2013,769967
70,27,194,38,16/09/2014,9460880
71,85,160,3,06/12/2000,1697035
72,85,128,5,05/10/2001,9820968
73,20,46,25,28/04/2006,9306795
74,88,222,9,27/09/2013,2585182
75,20,273,18,25/09/2000,2439187
76,42,192,30,10/11/2012,1582044
77,67,136,44,06/11/2012,3355643
78,19,213,6,22/12/2014,8981408
79,30,8,36,22/05/2006,1905857
80,88,68,48,18/11/2004,1080675
81,74,175,5,03/05/2015,4874543
82,94,206,10,21/02/2011,5622970
83,65,279,24,06/09/2013,9307609
84,92,7,39,21/07/2000,7164762
85,11,227,6,13/09/2012,6618131
86,12,104,35,06/09/2006,6073869
87,64,230,28,20/09/2008,1571349
88,88,107,45,24/07/2011,9614906
89,80,225,20,16/07/2016,8153588
90,98,133,4,13/11/2004,6336930
91,95,145,32,21/02/2005,1659566
