iddueno,numregistro,Frecesion,FAdquisicion
293,66,24/09/2000,20/11/2007
281,63,05/11/2001,28/12/2006
260,82,23/04/2002,20/09/2005
221,40,22/08/2000,19/03/2008
145,28,08/03/2002,01/02/2009
156,50,03/11/2001,15/08/2013
137,89,05/05/2004,10/10/2012
82,6,22/06/2000,11/03/2013
70,45,04/06/2004,17/03/2014
291,97,08/04/2002,21/11/2012
228,69,17/04/2001,25/03/2006
214,6,08/06/2003,17/11/2014
54,79,25/11/2002,14/10/2008
185,99,17/07/2002,19/04/2006
200,6,27/08/2001,05/01/2012
8,84,18/08/2000,25/08/2013
214,73,29/01/2003,06/04/2015
69,47,28/08/2000,16/04/2011
260,12,05/12/2001,05/11/2005
56,81,24/07/2003,20/01/2009
294,87,04/09/2002,25/05/2010
16,30,10/12/2000,29/05/2010
25,98,22/07/2001,07/07/2006
49,98,15/07/2002,12/12/2009
204,50,27/11/2002,05/04/2014
41,13,18/02/2001,12/07/2006
251,40,09/03/2001,12/01/2015
234,42,23/02/2001,17/05/2007
87,95,03/06/2004,11/09/2005
215,28,23/03/2003,09/04/2013
93,8,28/11/2003,09/12/2014
81,94,12/11/2000,11/07/2007
126,1,31/08/2001,04/12/2011
40,33,06/08/2001,16/04/2008
288,79,29/10/2003,28/02/2014
269,9,15/12/2003,22/11/2010
259,96,02/11/2000,11/01/2006
207,8,04/12/2003,16/07/2013
157,49,27/02/2001,14/06/2008
22,29,24/12/2001,28/01/2012
252,54,20/12/2001,23/04/2011
253,95,18/12/2000,12/08/2006
150,93,07/04/2002,31/05/2012
283,78,19/04/2004,07/04/2013
4,2,26/07/2002,23/02/2007
252,46,21/08/2002,27/02/2010
111,96,15/07/2003,25/10/2008
120,16,14/11/2003,05/12/2010
5,17,14/09/2000,28/05/2010
242,32,26/06/2002,20/05/2008
281,50,19/02/2003,19/11/2006
192,19,02/06/2004,14/09/2005
228,52,21/09/2003,13/12/2011
287,67,05/07/2000,06/07/2005
129,98,28/01/2003,20/03/2011
7,16,25/01/2002,26/07/2012
295,24,10/10/2002,21/07/2013
250,31,02/07/2002,11/04/2011
25,53,21/11/2000,10/04/2012
107,30,13/09/2000,04/02/2009
263,100,31/12/2003,23/01/2006
182,49,19/06/2002,09/09/2011
199,6,12/12/2003,13/09/2007
288,77,13/03/2001,07/06/2008
192,44,29/08/2003,12/09/2014
68,65,18/08/2000,29/09/2013
23,72,24/02/2004,14/12/2005
261,55,05/05/2004,07/10/2011
24,9,18/07/2000,30/09/2010
185,26,16/11/2001,21/06/2011
62,60,15/07/2001,29/12/2007
230,27,16/03/2003,28/04/2012
224,83,16/10/2001,26/12/2009
72,98,12/09/2002,25/02/2011
260,63,21/07/2001,30/06/2012
200,84,20/09/2002,26/08/2008
247,57,05/03/2003,05/07/2012
249,18,20/06/2002,06/04/2015
72,44,26/03/2003,07/02/2010
38,48,05/01/2004,01/11/2014
109,14,09/05/2004,16/07/2014
211,33,26/02/2004,14/11/2006
1,54,01/11/2003,10/04/2010
238,80,31/03/2004,01/04/2014
77,1,07/05/2003,01/06/2010
166,80,25/07/2001,14/03/2011
238,64,13/12/2002,19/03/2012
7,66,31/01/2004,03/10/2014
136,77,01/12/2000,03/11/2014
268,19,25/06/2000,13/04/2006
22,37,19/10/2002,24/04/2010
75,87,07/05/2004,17/10/2011
19,91,06/02/2002,06/05/2008
1,25,13/12/2001,04/12/2006
216,49,18/12/2000,16/12/2010
293,92,08/05/2002,17/07/2012
47,20,07/02/2001,23/03/2014
237,19,18/05/2004,14/05/2014
271,3,08/05/2004,04/02/2014
101,89,30/08/2003,22/08/2009
138,80,06/03/2002,07/06/2014
109,78,09/11/2003,14/02/2007
239,68,11/01/2002,18/11/2009
173,68,10/02/2003,03/05/2012
250,37,31/01/2001,28/05/2007
88,33,14/05/2002,19/10/2008
245,47,12/09/2001,19/09/2013
17,1,12/10/2002,20/10/2005
101,39,16/02/2003,17/02/2011
162,93,01/10/2000,12/01/2015
169,23,04/06/2003,06/04/2008
277,57,31/08/2001,23/05/2011
174,60,21/03/2003,10/07/2013
237,7,02/05/2004,16/10/2008
206,17,13/01/2001,14/12/2008
253,35,28/08/2003,22/03/2008
23,29,12/09/2002,30/04/2011
91,54,29/09/2000,12/06/2013
240,51,07/10/2000,09/03/2007
104,48,13/08/2002,06/07/2012
174,21,13/11/2001,15/04/2009
100,61,31/07/2001,30/03/2008
125,6,05/09/2002,10/08/2012
14,36,03/09/2002,15/02/2009
260,79,02/07/2003,27/03/2014
89,51,02/08/2000,19/09/2012
171,15,19/01/2004,09/09/2011
217,84,02/07/2003,19/01/2015
13,57,30/07/2000,15/05/2009
217,24,03/07/2003,03/11/2005
3,69,27/12/2001,10/04/2008
84,13,09/08/2002,24/12/2010
200,91,02/02/2004,07/12/2012
45,14,15/04/2002,11/06/2013
99,43,27/07/2003,11/03/2012
260,23,28/09/2002,26/05/2015
286,49,20/11/2003,04/03/2007
20,9,01/11/2003,26/02/2012
130,42,17/11/2000,22/10/2009
57,10,14/02/2001,09/04/2010
120,22,30/06/2002,01/05/2010
122,21,06/04/2001,22/02/2014
154,4,08/08/2001,10/06/2014
29,89,12/09/2003,23/08/2013
296,25,22/11/2001,12/03/2010
177,81,04/01/2001,28/03/2006
49,11,04/02/2002,11/02/2007
120,91,17/04/2002,03/07/2005
77,40,21/05/2003,15/12/2008
221,2,23/04/2004,30/05/2015
