idventa,numregistro,iddueno,idasesor,FAquisicion,ValorPropiedad
1,83,198,12,13/07/2014,1461736
2,41,31,24,14/09/2013,4947545
3,98,12,37,09/03/2016,9565883
4,87,43,36,14/05/2014,4990035
5,80,259,27,09/08/2010,9213012
6,66,237,47,16/12/2006,8521699
7,31,67,44,15/11/2005,3954935
8,97,232,27,10/09/2001,5679064
9,86,260,10,24/08/2008,728505
10,3,227,21,06/10/2015,4516024
11,12,109,1,02/08/2009,5709534
12,71,283,14,27/05/2014,7756238
13,85,109,16,13/07/2000,4288876
14,52,227,47,05/05/2006,9423522
15,11,278,36,07/10/2012,4782199
16,84,244,9,03/08/2000,4371511
17,37,175,23,29/12/2000,1180065
18,59,229,46,01/07/2008,5176653
19,34,56,16,02/12/2004,1496378
20,83,32,13,12/05/2004,5603867
21,100,172,48,29/04/2015,7560172
22,64,170,35,27/03/2001,1076246
23,10,156,24,18/09/2004,8534849
24,37,101,29,18/12/2005,5279191
25,3,193,46,30/06/2009,3648943
26,5,246,1,27/09/2003,1481623
27,34,152,44,09/08/2009,3365357
28,47,117,38,26/04/2006,4150887
29,76,257,31,20/08/2011,6131690
30,80,255,43,04/12/2011,3628204
31,62,108,43,19/08/2005,1981605
32,71,223,14,25/01/2004,2311435
33,53,234,20,19/04/2012,4162366
34,7,158,15,21/07/2009,7892273
35,43,17,26,18/05/2010,4298980
36,26,133,24,14/10/2003,4719787
37,93,127,46,14/11/2016,893421
38,80,216,27,20/11/2014,8236074
39,3,128,42,19/09/2001,5336730
40,11,285,38,08/08/2006,6200444
41,72,259,37,02/08/2009,4132714
42,30,266,10,15/06/2000,796462
43,53,206,48,11/06/2006,9138218
44,37,131,43,07/10/2005,769302
45,15,64,16,20/12/2006,7322928
46,3,5,29,08/03/2013,5987467
47,5,75,16,02/06/2012,5640950
48,56,272,14,18/09/2003,8741342
49,86,139,13,05/12/2016,8808802
50,60,162,12,01/01/2006,5411226
51,23,216,22,05/10/2000,8226744
52,51,299,15,03/11/2013,5309916
53,37,101,1,15/10/2000,5685244
54,79,246,39,20/08/2012,2900109
55,14,243,35,24/12/2013,8967676
56,3,139,19,28/10/2008,8395281
57,52,16,21,27/04/2009,3970855
58,89,215,11,15/05/2015,5897469
59,79,19,23,02/02/2002,3482536
60,89,212,34,25/03/2003,5930548
61,17,238,3,02/11/2003,2778785
62,9,126,27,26/08/2014,8194654
63,44,9,46,26/05/2017,1857813
64,97,165,47,16/08/2015,1589283
65,17,113,15,04/01/2012,3097044
66,56,1,19,10/08/2008,2838469
67,52,199,26,03/10/2001,7179681
68,28,216,10,25/10/2012,6811602
69,83,144,40,02/06/2014,9101537
70,54,82,44,05/01/2005,725242
71,1,118,22,20/09/2011,2708597
72,95,199,25,12/03/2009,2528089
73,99,210,18,05/04/2012,7653477
74,24,102,39,13/09/2015,957435
75,27,97,24,14/10/2009,6325012
76,30,90,26,08/02/2009,1449505
77,7,223,27,22/12/2010,5034255
78,53,233,27,17/10/2013,1365112
79,76,249,50,14/02/2005,711847
80,45,53,23,29/09/2006,2468080
81,68,194,15,16/10/2004,6638667
82,54,264,28,13/04/2013,6747254
83,36,93,23,14/12/2002,7831993
84,96,136,31,21/11/2000,4208383
85,93,228,29,15/12/2012,9245740
86,55,78,33,23/07/2012,4329908
87,75,198,46,12/04/2002,9892761
88,83,26,2,01/12/2007,8236959
89,17,269,5,28/01/2005,9671930
90,6,290,5,19/09/2015,1767096
91,79,45,42,21/10/2005,3979113
92,42,9,14,16/07/2001,7672827
93,25,86,16,09/11/2011,921234
