numregistro,fecha,precio
83,22/03/2017,9481683
73,22/03/2017,9126178
37,17/02/2018,2604548
89,23/04/2018,1415719
69,10/02/2018,5208399
40,04/10/2018,933031
47,06/04/2017,4934949
65,17/10/2016,5623183
1,22/09/2017,5921858
35,11/01/2019,4157488
81,24/12/2017,5233140
99,31/12/2016,4320737
70,02/07/2017,7354691
57,10/06/2016,1675633
40,26/04/2019,2565668
5,29/11/2017,1388322
75,11/05/2019,4013556
8,02/06/2018,1339958
63,15/07/2017,1931995
58,07/05/2019,7879133
18,23/05/2017,3234878
41,05/12/2018,7725121
11,07/10/2018,9041420
39,13/08/2018,9845983
41,14/09/2016,4675880
81,30/09/2016,1558453
19,20/04/2018,2366095
95,07/07/2018,4917772
14,08/06/2018,2823530
84,19/04/2017,8145918
31,11/10/2017,7083381
23,27/11/2016,2974599
75,26/08/2018,6011855
99,25/02/2017,7089499
59,12/05/2018,8861594
93,13/11/2018,2625106
82,11/04/2017,6470801
12,15/02/2018,4174210
67,17/04/2018,6564706
23,11/11/2016,7083578
82,11/01/2019,2560912
62,19/07/2017,8945669
30,12/11/2017,5474261
29,27/02/2017,2070399
79,28/03/2019,519045
85,22/06/2018,4860284
10,18/03/2017,4550144
99,13/04/2018,7369566
81,30/01/2019,2621190
84,05/12/2016,3848846
99,02/11/2018,4816862
44,06/03/2019,7797582
73,05/04/2017,5632345
94,07/09/2018,8136690
46,23/09/2016,735501
100,07/12/2017,1864242
39,02/07/2016,8380352
61,11/11/2018,7441989
88,27/04/2017,8467723
6,16/03/2017,8669242
39,13/05/2017,523731
34,02/06/2019,2665070
75,07/08/2018,2133211
71,04/07/2016,8100275
63,17/07/2018,6287359
91,16/06/2018,522351
88,17/10/2018,1174060
51,02/09/2018,9935257
12,26/05/2018,2503082
31,20/10/2018,5692364
79,27/10/2017,9103034
72,14/01/2019,1319877
14,14/10/2017,3727151
60,25/07/2017,4501736
73,05/11/2018,2297696
77,14/08/2016,5785078
23,06/10/2017,7644043
27,25/07/2016,1110349
29,23/06/2018,3226864
94,25/06/2016,9151309
41,29/10/2016,2188237
33,24/07/2018,1485993
6,20/03/2017,7178469
81,07/10/2018,4713016
26,08/02/2017,4636625
74,19/02/2017,3616137
30,11/09/2017,1824776
54,25/12/2017,9719439
98,16/05/2018,2339115
6,17/02/2018,1444908
38,21/08/2017,8609238
42,26/11/2017,5068561
28,05/12/2018,4639637
24,19/09/2017,5765089
43,15/07/2016,9306954
93,07/12/2017,5778919
71,09/11/2017,7947615
43,02/09/2017,3788611
73,19/02/2018,4865139
80,10/11/2016,8392864
58,18/02/2019,9817605
10,11/04/2019,2672596
28,01/05/2018,4341514
13,28/07/2018,1665587
18,26/09/2016,6205822
22,02/04/2019,9053209
3,19/08/2016,4237316
18,26/02/2018,2095463
42,21/04/2019,9448247
71,25/04/2019,2881147
90,07/11/2016,5328271
69,18/03/2018,1303442
75,04/04/2019,5850445
81,20/02/2018,3388475
46,24/03/2018,2306417
89,20/09/2018,4458776
20,17/02/2019,7545519
36,19/04/2018,8513386
25,19/02/2019,1362694
10,28/01/2018,3830090
59,17/05/2019,7420417
60,18/11/2017,4422783
87,27/02/2018,7332229
37,03/01/2018,8481355
94,20/12/2017,8635427
71,12/07/2018,9184345
80,23/06/2017,1234815
97,10/09/2017,552923
49,18/07/2018,3504869
68,25/11/2016,4467093
24,28/09/2018,2753378
19,03/06/2017,1224219
85,27/07/2016,4308609
86,14/08/2016,908441
91,06/08/2017,3681227
94,26/12/2018,8159154
82,10/04/2019,4375799
78,09/01/2019,3139500
31,29/10/2017,891424
83,14/11/2017,8657383
18,05/10/2017,5710816
16,23/06/2018,2597465
18,12/05/2017,4006690
8,04/10/2018,4774931
68,29/04/2019,4615318
82,11/06/2016,9496324
92,30/01/2019,1611719
47,18/10/2018,5364792
37,13/04/2019,5899521
29,21/07/2018,1443487
57,18/03/2018,5198360
85,16/06/2017,6768137
68,13/04/2018,5635835
30,06/11/2016,5967046
45,12/02/2018,3918274
39,03/09/2018,9492088
80,28/04/2019,9575547
20,27/01/2017,9891056
84,18/08/2018,3750176
76,24/04/2017,4132280
3,21/04/2019,2331805
87,16/02/2019,5657828
21,26/01/2019,2031532
52,11/10/2017,9270611
85,16/08/2016,5273353
78,08/01/2019,2103501
33,28/11/2017,8249126
17,03/04/2019,8750574
82,24/05/2017,7531725
16,07/12/2017,973391
21,26/07/2018,1439879
42,12/02/2018,8538811
97,18/08/2016,9170896
26,08/10/2016,6478167
25,31/10/2016,2096432
7,29/09/2018,8412913
56,24/04/2017,1044818
70,30/10/2016,4896733
6,18/01/2017,1519113
100,14/05/2019,7705684
45,23/07/2016,9174201
85,10/10/2016,4091301
27,17/01/2017,4784195
71,22/11/2017,3524661
19,02/06/2019,6455610
80,17/04/2017,2472545
31,19/06/2018,5941135
23,17/07/2016,9093977
53,03/06/2019,7466635
11,30/08/2018,1740578
1,30/08/2017,5528007
43,08/09/2017,4117885
34,16/11/2017,6601010
12,28/09/2016,6186075
37,29/05/2019,5404530
44,17/09/2018,7314409
63,09/07/2016,1307386
56,28/08/2017,8840335
85,26/06/2017,3135837
99,11/04/2018,5737870
34,25/04/2019,3290132
61,01/04/2017,3925091
37,21/08/2017,9809592
41,26/09/2018,4547713
11,30/11/2016,7808581
72,18/12/2017,7797316
90,14/08/2018,9482450
32,11/10/2017,3553619
32,22/03/2018,4216117
51,10/05/2018,1129410
68,01/06/2017,6575996
41,13/04/2017,821378
3,21/12/2018,6984117
6,11/03/2017,2048758
44,22/08/2018,3955981
69,21/09/2016,1454730
83,05/10/2017,6510628
91,12/09/2018,5849944
26,20/03/2017,5092310
38,20/11/2016,9881611
40,08/10/2017,7864121
97,06/07/2017,6600463
81,11/03/2017,2466594
82,27/01/2019,7869506
25,02/03/2017,8645713
21,07/06/2019,7239761
17,23/03/2018,7913177
42,22/05/2017,9951128
96,28/08/2016,8580638
30,13/03/2017,5941641
34,24/05/2019,8430217
40,29/05/2018,966526
80,14/08/2018,8082714
23,28/03/2017,912698
15,22/02/2018,2448571
96,19/07/2016,9560128
89,26/06/2016,9349232
50,20/04/2017,7312888
100,28/05/2017,7231883
66,10/10/2018,6131627
57,10/10/2017,1135778
93,07/04/2018,3814758
27,24/06/2017,7932086
9,08/09/2018,7707141
87,10/03/2019,5334729
98,16/10/2017,7644637
92,01/09/2016,6619370
50,30/12/2016,6878842
80,03/09/2018,4398722
50,17/12/2017,6836086
22,01/01/2018,6740635
76,13/09/2017,3575503
25,01/11/2017,1904274
59,18/09/2016,4230135
84,28/01/2019,3869970
6,05/01/2018,2339648
7,18/10/2016,8295906
3,15/07/2016,3904126
56,23/09/2016,5681961
90,12/02/2017,1774989
3,21/02/2018,3911095
32,28/11/2017,7195843
4,19/02/2018,7473400
24,07/06/2017,8383260
80,17/10/2018,4703062
84,25/03/2017,3912807
61,23/11/2016,9239104
54,29/03/2018,1237580
76,14/05/2018,7365673
71,20/01/2019,3537100
82,03/01/2017,9217830
72,10/09/2017,8902457
42,16/05/2019,2083381
63,27/12/2017,9703266
15,24/07/2017,8093012
85,13/04/2017,7740290
21,10/08/2018,6885519
35,03/06/2018,6572144
94,20/11/2016,4531843
74,19/01/2017,1342146
51,28/10/2018,952687
6,05/07/2016,3232453
20,20/08/2018,8028962
74,16/07/2017,8197381
4,18/07/2018,7292032
37,29/10/2017,1281218
74,16/09/2016,743116
6,29/09/2016,5569759
73,10/09/2017,4057149
66,28/12/2018,8663872
32,24/07/2016,8435387
75,08/09/2018,3007745
39,27/08/2016,9876310
8,03/09/2017,6188008
