idventa,numregistro,iddueno,idasesor,FAquisicion,ValorPropiedad
1,57,229,22,03/01/2008,4767676
2,13,96,22,09/08/2000,7112225
3,60,223,23,24/10/2006,8492030
4,23,141,9,24/07/2004,1774425
5,79,270,7,03/09/2013,2826133
6,3,164,10,17/03/2007,2881863
7,16,189,20,30/10/2004,6703654
8,65,146,29,20/11/2010,3386742
9,77,20,23,02/01/2001,5300553
10,1,194,28,27/08/2003,8154038
11,44,168,1,07/11/2013,2141515
12,54,160,27,29/03/2017,7561180
13,81,289,43,12/07/2001,1694744
14,28,174,37,26/12/2002,4890201
15,42,155,18,26/11/2004,5353897
16,72,101,49,30/04/2001,8935755
17,76,262,29,02/04/2012,1579775
18,90,63,30,15/01/2009,2001915
19,74,226,41,27/10/2007,9899926
20,49,116,13,14/06/2000,5061656
21,91,226,21,28/01/2011,9726589
22,76,43,36,08/05/2002,1970613
23,1,161,26,18/11/2002,4513508
24,79,48,13,27/10/2007,9891959
25,22,47,6,06/12/2010,2446178
26,10,50,26,30/12/2001,622185
27,67,267,18,10/06/2014,3793781
28,68,165,30,06/07/2010,7620486
29,67,10,44,09/04/2016,6750236
30,54,172,41,19/11/2003,9717522
31,61,266,10,19/07/2009,619976
32,20,159,49,30/01/2008,9166437
33,12,42,8,17/04/2015,7394573
34,58,268,3,18/07/2006,1131097
35,13,243,45,10/09/2008,9601825
36,53,92,39,07/01/2014,5790468
37,11,29,24,03/09/2008,3218549
38,69,149,40,07/04/2002,5720812
39,91,121,44,22/06/2003,5167215
40,51,203,12,19/11/2015,9664661
41,30,32,48,13/05/2017,2792673
42,23,65,24,17/07/2001,7852935
43,84,44,37,25/07/2007,8112299
44,100,247,31,08/12/2008,9607529
45,27,262,18,25/11/2001,3294337
46,65,254,5,04/06/2002,7534665
47,60,104,32,27/08/2002,621492
48,99,182,13,25/05/2007,8141582
49,4,66,47,22/06/2016,8162776
50,44,252,17,29/08/2009,7701490
51,7,152,10,08/04/2005,2611746
52,33,33,15,08/01/2006,7723646
53,99,41,39,26/08/2012,4531551
54,7,214,27,06/12/2010,1238155
55,19,274,4,22/09/2014,6843975
56,50,55,7,19/10/2011,7843730
57,54,250,44,19/11/2008,7038621
58,49,177,20,21/04/2005,2799216
59,91,282,42,16/11/2010,8572071
60,48,4,23,06/02/2011,8994660
61,60,300,38,28/02/2011,5874417
62,59,192,28,04/12/2003,8705618
63,82,47,2,15/05/2015,5042673
64,5,238,10,10/04/2003,2338857
65,72,299,26,08/12/2004,8074873
66,37,64,33,09/02/2013,6243700
67,25,268,48,01/07/2014,6652602
68,48,260,2,27/04/2017,2700967
69,36,6,18,08/03/2009,5961885
70,5,196,47,16/01/2014,6218632
71,98,63,3,10/10/2007,6923095
72,91,37,42,11/08/2016,8102002
73,29,36,13,25/10/2000,4016205
74,23,278,8,02/02/2014,9741510
75,27,115,4,24/03/2015,2700105
76,62,237,43,19/06/2015,2050190
77,60,266,24,30/07/2011,2444637
78,48,58,27,18/02/2014,5199294
79,11,48,18,01/06/2006,771169
80,98,182,34,29/06/2001,743427
81,2,246,18,26/09/2016,8874927
82,66,123,29,25/07/2010,1038130
83,34,139,36,21/12/2016,6772096
84,61,276,13,16/04/2010,3095497
85,71,89,31,31/07/2001,9796209
86,79,14,7,26/06/2003,5461145
87,21,223,39,13/09/2016,7496330
88,93,20,12,01/12/2001,2208009
89,65,175,14,18/02/2014,8769766
90,86,104,14,26/06/2009,4544869
91,17,253,15,06/11/2008,1990921
92,36,134,33,15/11/2013,1252832
93,89,26,17,13/02/2001,5684469
94,39,101,26,03/11/2010,7281745
95,57,12,9,07/10/2008,3725890
96,83,142,23,20/11/2016,5956651
97,29,123,4,04/06/2007,2394777
98,15,70,28,18/09/2010,9580362
99,56,82,41,14/03/2012,705375
100,22,239,14,08/01/2012,2434493
101,62,223,5,26/06/2007,2158761
102,46,296,9,12/04/2006,7853887
103,90,80,19,06/06/2011,2320840
104,17,268,39,16/04/2002,5146607
105,47,283,42,22/12/2012,2850158
106,49,141,28,14/06/2003,1828136
107,28,215,14,19/12/2013,1528637
108,7,54,34,20/09/2015,9148331
109,12,288,3,16/09/2004,8665418
110,91,84,21,30/09/2005,4491667
111,77,35,26,03/05/2001,9626187
112,73,88,19,29/11/2016,6524267
113,57,6,38,02/06/2004,7197471
114,13,30,5,03/01/2016,1861150
115,49,221,32,13/10/2006,2001674
116,64,44,7,20/10/2001,8506993
117,34,220,7,24/09/2013,7718644
118,79,193,11,13/03/2011,2523794
119,90,77,42,11/11/2008,1995342
120,24,145,19,30/05/2002,8455874
121,91,291,13,10/06/2006,4327570
122,95,157,27,27/01/2011,1948681
123,86,132,14,10/01/2002,9184254
124,90,9,15,28/08/2000,8879978
125,2,38,29,04/02/2003,5228582
126,98,39,16,01/05/2011,2720654
127,65,10,19,12/05/2017,7154593
128,36,232,25,25/02/2017,4538003
129,85,248,2,17/10/2003,7139441
130,61,190,22,27/07/2005,5279400
131,18,58,41,21/11/2007,5275345
132,36,265,9,02/11/2004,4802877
133,76,300,27,10/03/2007,1611450
134,55,157,1,27/10/2005,9760012
135,90,21,5,24/06/2000,4432032
136,39,68,41,11/03/2002,7383624
137,58,249,2,07/06/2013,3833572
138,61,18,40,25/05/2009,8927765
139,46,82,3,07/10/2004,2763010
140,72,172,16,11/01/2012,4162896
141,66,1,6,27/09/2011,2801520
142,100,96,16,17/05/2005,1071835
143,49,219,20,23/11/2016,1871915
144,11,61,41,11/02/2011,4798102
145,81,99,41,31/07/2004,4269656
146,17,24,4,07/04/2003,1060202
147,78,267,47,04/12/2016,1463687
148,5,99,31,09/05/2008,7458871
149,56,154,16,23/01/2011,7762930
150,49,209,12,20/02/2016,3857148
151,52,46,47,05/12/2009,3027548
152,23,133,41,02/05/2017,1362825
153,77,70,30,08/08/2004,5290790
154,30,124,4,23/12/2011,3549653
155,33,13,19,09/03/2014,4590483
156,53,220,23,14/06/2012,7650687
157,15,148,31,14/09/2000,1438427
158,63,103,18,09/09/2013,5472211
159,29,11,14,20/06/2003,8579340
160,88,232,27,01/05/2017,6800243
161,62,166,38,01/02/2006,9772212
162,61,103,15,10/12/2009,6288791
163,79,75,27,02/10/2012,877740
164,27,221,32,14/03/2007,9847839
165,9,6,39,19/08/2014,4336098
166,90,251,28,04/08/2015,6757545
167,74,80,36,08/04/2001,2792269
168,6,165,19,08/07/2015,5958354
169,1,207,18,15/05/2011,2857676
170,53,44,43,10/04/2014,7499214
171,21,127,21,07/09/2016,2646388
172,13,196,42,25/04/2001,2216591
173,22,119,1,14/11/2002,5468103
174,31,228,10,08/06/2005,6430789
175,30,53,40,28/10/2015,7526419
176,8,189,43,30/04/2013,2712747
177,90,300,14,19/12/2000,1671025
178,4,52,30,09/06/2014,6485715
179,87,149,28,03/08/2015,6179718
180,59,30,38,29/04/2008,7109382
181,13,191,32,18/09/2012,3610055
182,15,91,22,28/06/2010,4640803
183,63,261,44,18/10/2004,1896006
184,70,85,41,10/06/2009,8429198
185,4,278,48,18/09/2000,8537354
186,95,170,40,22/06/2001,7956024
187,55,194,45,03/09/2015,1269406
188,73,240,46,03/11/2006,3209316
189,34,175,39,06/04/2012,9335973
190,93,236,7,23/11/2001,8638566
191,45,192,26,01/02/2014,8748803
192,56,39,27,18/08/2004,3637812
193,75,215,4,24/08/2006,8157349
194,78,116,35,05/05/2004,2684404
195,10,289,42,05/11/2007,9887880
196,85,186,43,09/08/2003,6023845
197,21,77,32,25/07/2010,6205095
198,40,197,32,08/02/2004,2095079
199,23,33,28,08/10/2004,7502482
200,26,295,20,24/03/2003,3140554
201,100,141,12,16/03/2013,9323936
202,27,262,3,14/08/2001,8403043
203,51,137,30,14/07/2015,9509512
204,15,26,26,15/11/2000,9930107
205,37,279,14,08/04/2010,6389544
206,72,14,39,13/07/2011,3914482
207,37,296,30,12/03/2007,715199
208,11,23,21,23/06/2002,9544121
209,73,123,15,18/04/2017,5319031
210,95,242,12,25/04/2013,8218492
211,100,22,43,21/12/2008,9257349
212,49,136,33,28/12/2015,3369807
213,43,107,30,06/01/2009,5055847
214,62,30,35,22/09/2006,3365910
215,35,204,2,19/12/2006,8932278
216,57,125,13,23/12/2007,2203303
217,96,47,21,26/01/2012,5592661
218,30,284,20,05/07/2015,3006513
219,68,251,28,21/06/2015,871632
220,65,155,11,17/10/2009,5440069
221,9,3,48,20/08/2002,3958942
222,16,284,14,22/04/2012,3769704
223,4,77,45,08/10/2001,7944144
224,18,64,25,17/08/2008,9066558
225,16,81,5,07/08/2001,9185521
226,97,108,10,27/03/2009,9203139
227,11,94,11,01/08/2011,7512042
228,17,298,13,21/07/2000,4256894
