iddueno,numregistro,Frecesion,FAdquisicion
151,58,03/02/2004,29/02/4400
279,97,07/07/2003,28/03/10674
273,24,23/09/2002,14/02/19834
214,87,15/01/2004,06/05/12153
223,72,14/05/2001,02/05/17605
98,56,26/09/2000,19/04/3848
160,53,23/03/2003,02/10/16022
117,21,03/02/2004,18/10/11141
251,50,02/04/2001,05/12/5683
240,100,16/12/2003,12/05/5296
287,7,25/06/2001,29/04/13064
70,57,23/10/2001,29/04/13018
127,75,04/07/2000,13/08/13385
27,50,13/02/2001,30/11/19484
218,24,16/12/2002,22/04/12745
41,29,05/07/2003,12/07/19508
22,6,22/04/2003,29/11/4549
69,30,19/11/2003,14/03/13747
133,22,15/10/2001,08/03/15028
258,77,31/01/2004,13/12/19863
249,80,14/02/2003,23/03/15152
262,43,19/10/2003,27/09/17581
265,92,01/04/2002,10/06/19917
226,47,07/12/2001,22/11/3545
11,78,29/09/2003,07/07/9897
247,83,18/04/2004,31/08/8268
253,94,10/05/2003,20/07/16110
73,46,06/08/2003,07/07/5409
160,65,13/02/2002,23/07/10666
85,39,17/01/2002,10/02/13428
70,15,23/04/2001,11/08/11428
157,65,21/02/2003,05/04/11869
238,59,22/11/2000,11/04/12695
214,90,29/06/2001,28/09/13603
16,50,28/03/2001,17/02/19922
242,19,13/01/2002,20/10/10615
2,9,10/08/2003,24/08/4136
39,20,12/03/2004,11/02/10582
108,58,15/05/2004,04/12/14698
20,74,07/08/2001,09/07/6613
289,9,04/12/2000,23/08/16758
109,83,06/02/2002,20/12/17785
32,29,19/06/2002,24/01/10244
272,10,10/01/2003,07/01/16694
211,54,09/08/2002,01/05/18660
136,96,20/02/2001,03/07/15806
272,15,29/07/2000,09/06/2656
65,69,07/01/2003,08/07/15183
19,51,14/08/2003,04/12/8171
79,5,05/06/2002,19/03/13428
207,81,19/11/2000,10/08/18410
103,99,28/06/2001,15/04/10417
132,78,27/12/2003,22/05/19800
278,77,18/12/2001,23/06/13247
154,44,10/07/2003,03/10/16735
132,41,14/03/2001,17/11/7128
142,60,23/01/2003,12/02/4975
254,46,31/05/2003,11/04/14674
164,25,27/06/2002,29/01/10059
146,64,25/11/2003,21/03/9938
48,89,11/01/2003,02/10/5414
21,79,19/10/2001,26/07/18475
194,95,26/02/2004,08/07/2690
216,53,09/03/2004,07/09/9980
27,16,08/03/2001,19/09/2733
64,25,29/07/2000,23/04/7378
183,21,30/08/2000,16/04/18038
211,7,21/06/2001,16/10/3683
111,13,11/05/2002,22/05/14408
16,24,15/10/2002,22/07/11409
140,71,04/07/2002,14/08/16180
130,93,21/05/2002,10/08/9207
176,74,22/10/2001,01/12/16795
106,60,28/02/2003,12/02/10682
234,40,02/03/2003,09/07/3123
11,32,05/01/2003,05/03/8913
60,26,31/05/2002,15/02/12171
257,15,28/06/2000,22/06/3979
101,94,23/06/2003,23/11/2901
299,7,13/09/2003,11/12/10037
85,51,07/12/2001,19/05/14041
97,78,06/03/2003,23/06/13571
72,58,25/01/2002,04/06/11437
14,72,10/07/2002,08/07/19297
155,55,26/05/2004,12/02/2215
83,45,12/05/2004,14/03/18554
204,45,19/07/2002,07/01/6614
142,2,12/02/2001,17/04/19033
73,66,22/02/2001,29/05/7701
247,73,21/12/2000,28/11/17257
147,43,20/06/2002,14/12/12466
134,61,23/06/2001,19/07/19510
145,59,07/01/2002,17/08/8034
243,91,08/10/2000,31/03/12655
265,70,28/09/2002,23/10/14765
6,66,30/12/2002,11/07/16032
47,50,02/11/2002,05/07/10629
25,78,22/05/2004,23/10/8129
25,16,22/01/2004,18/01/11512
49,26,19/04/2002,14/12/12276
232,15,15/08/2000,15/10/2067
295,21,04/01/2004,18/12/17172
100,63,09/06/2000,25/06/19473
16,18,22/06/2002,28/02/10669
119,30,18/04/2004,25/10/9057
108,9,28/10/2003,27/01/2647
153,80,07/02/2003,02/01/10834
155,27,20/02/2002,11/03/14574
91,80,27/10/2000,26/11/10015
185,22,22/06/2001,15/02/5028
250,44,19/11/2000,14/08/7978
285,4,27/12/2003,24/11/11040
176,22,02/03/2003,07/08/14111
170,27,02/09/2000,16/04/8318
86,92,01/01/2002,16/07/7267
193,21,29/05/2001,27/09/8942
144,70,30/03/2001,12/07/9766
186,52,08/06/2002,14/01/16829
259,82,22/03/2001,07/03/2048
111,93,14/10/2001,03/04/19621
276,11,25/04/2001,21/08/4546
45,86,27/05/2002,30/04/6431
115,85,15/02/2002,14/05/7365
63,8,02/07/2000,06/06/4746
28,61,09/11/2000,18/03/12209
127,13,10/08/2002,24/04/4765
69,14,22/01/2003,13/04/16655
285,25,23/12/2003,26/08/15159
136,42,06/09/2003,19/07/18044
54,72,29/11/2002,09/06/19975
33,60,24/05/2002,21/02/17628
87,63,21/07/2000,16/09/2256
192,55,12/01/2002,11/07/3439
200,48,28/10/2000,25/12/8655
218,38,22/04/2004,16/04/5409
36,11,27/05/2003,21/03/14253
295,45,17/01/2002,17/10/9617
170,18,05/12/2003,27/08/3421
58,30,19/05/2003,22/10/19498
278,61,16/02/2001,10/06/8786
50,64,26/03/2002,31/05/13853
214,2,20/08/2000,12/03/12499
267,33,06/02/2001,10/08/2113
264,89,21/07/2002,14/06/4208
11,28,28/08/2002,17/08/9289
140,92,03/05/2002,09/07/14220
203,49,21/06/2003,16/08/11138
274,27,10/09/2000,25/01/15078
112,53,13/10/2000,15/06/6959
45,83,22/01/2004,17/12/19935
227,92,28/01/2002,09/11/4125
216,59,03/05/2001,31/10/8951
11,77,27/01/2004,27/12/3704
24,36,08/06/2003,18/04/4215
255,73,27/04/2004,10/08/12750
154,53,26/12/2000,20/01/9794
238,96,03/08/2003,17/02/6348
205,5,08/07/2003,31/01/4879
266,24,18/02/2002,07/02/6104
156,31,05/07/2003,13/05/2229
133,5,19/02/2001,24/01/9464
245,72,07/06/2003,10/02/7089
282,7,20/08/2001,20/07/19180
74,13,26/02/2004,23/04/7874
151,21,09/09/2003,20/02/3598
154,57,04/12/2002,31/03/6744
156,30,10/02/2004,25/06/3771
188,56,29/11/2001,27/09/19836
87,35,15/06/2000,10/12/11759
8,53,02/11/2003,13/06/18393
163,33,17/04/2001,14/03/19386
183,71,01/11/2000,19/03/2778
97,91,17/04/2003,08/01/5250
166,61,31/08/2000,10/12/11802
224,1,07/07/2003,24/11/16568
130,42,08/04/2003,10/10/16331
296,55,05/06/2004,28/05/2495
104,4,16/04/2003,17/04/19347
295,36,17/08/2000,21/03/14283
277,16,07/04/2004,04/12/4573
214,6,10/04/2001,04/06/11559
126,35,13/01/2001,15/11/17487
103,54,27/11/2000,22/11/5716
192,33,16/03/2002,31/07/2789
58,18,14/10/2003,04/08/8992
130,14,30/09/2001,17/03/7896
217,87,23/08/2003,16/04/5011
199,6,23/09/2001,10/01/12705
209,63,27/04/2003,16/04/17763
212,97,15/03/2002,24/11/9065
56,4,24/10/2003,14/08/7518
168,25,27/02/2004,20/06/14966
18,99,16/08/2003,04/04/11113
216,83,08/02/2003,26/05/12713
280,15,24/08/2000,13/01/15508
18,100,27/11/2000,25/06/2978
35,53,25/08/2000,11/04/9446
190,3,18/10/2002,18/05/3109
78,31,25/06/2003,27/07/15437
295,51,08/05/2002,22/02/14889
