iddueno,numregistro,Frecesion,FAdquisicion
54,48,17/12/2001,08/09/12137
174,97,30/06/2003,13/03/13680
241,84,22/07/2003,27/09/18331
287,25,06/02/2001,11/10/15381
107,15,30/06/2001,10/05/8104
107,14,14/04/2002,22/02/10310
17,41,11/11/2002,28/12/8181
292,51,02/02/2004,29/10/5684
173,86,17/03/2004,10/02/13041
195,27,14/10/2000,24/06/18385
55,86,19/04/2002,04/11/6450
17,46,17/11/2003,03/02/5874
247,62,23/08/2003,03/02/18103
159,97,08/12/2001,07/09/2290
78,6,08/10/2003,28/10/4265
210,68,10/12/2000,10/11/9731
250,61,28/08/2000,22/04/11834
179,21,24/08/2000,10/10/2469
25,60,26/10/2002,16/06/12035
181,91,17/02/2002,08/05/11796
185,70,13/01/2003,19/01/9638
18,16,06/03/2002,06/03/10797
187,9,17/05/2002,20/03/15255
187,80,07/03/2004,08/12/2747
296,70,29/02/2004,09/08/8220
256,34,25/12/2002,29/07/9322
252,57,05/03/2003,20/02/10540
193,68,17/01/2002,15/12/14578
251,87,06/01/2001,29/10/2949
24,67,28/06/2001,24/07/17952
134,48,22/11/2001,02/11/18335
271,24,12/09/2003,08/03/18334
247,4,29/11/2000,07/03/7344
124,63,27/02/2001,02/03/6330
229,79,08/09/2000,14/03/2583
84,67,10/10/2000,24/12/13490
148,76,11/03/2003,26/12/5019
189,6,30/09/2000,13/07/19464
209,93,25/06/2001,29/05/3432
128,52,13/05/2004,05/06/16918
54,76,11/12/2002,09/07/13474
78,71,13/11/2001,26/03/7925
21,55,11/11/2003,21/11/18875
53,10,22/09/2003,05/11/4124
106,67,24/03/2002,09/02/6071
192,30,13/03/2002,01/05/3917
54,86,07/04/2003,04/05/9532
25,63,05/09/2002,05/02/11863
242,85,06/07/2000,29/06/18442
102,89,09/02/2001,25/12/10325
250,92,19/02/2004,27/04/15564
169,43,23/06/2002,13/06/13010
184,60,06/10/2001,06/02/2036
277,15,03/06/2002,02/02/12865
244,51,18/06/2001,22/08/10647
26,41,07/08/2000,23/10/5225
212,6,03/10/2002,21/09/10826
139,77,03/10/2003,20/12/9546
295,86,29/04/2001,01/03/6913
253,39,11/07/2002,04/05/4028
70,30,31/03/2001,09/04/16990
34,15,08/08/2002,10/03/19661
242,76,26/01/2001,05/08/7309
258,2,13/11/2003,03/12/19428
27,97,12/08/2003,01/05/15302
84,15,19/09/2003,07/03/5737
101,93,29/03/2001,02/08/8273
148,84,29/05/2004,17/05/16632
283,53,23/09/2002,10/06/8510
17,20,22/12/2003,12/08/4694
205,11,07/01/2004,21/04/8274
108,29,05/02/2003,17/09/6775
58,62,05/01/2003,07/02/13266
82,62,26/11/2000,19/03/12058
100,70,21/06/2000,21/01/7176
26,30,19/04/2001,29/05/3949
280,31,18/03/2001,31/12/14526
81,52,16/02/2003,20/08/15345
270,10,10/10/2001,31/10/19774
199,58,03/03/2001,19/03/3070
272,35,13/01/2001,30/05/8297
52,79,31/08/2001,05/12/18915
161,34,19/04/2002,04/09/4276
109,14,14/05/2003,21/08/4818
92,84,09/11/2002,03/05/13192
269,38,16/11/2003,30/11/18418
22,67,28/03/2002,04/03/17565
107,32,26/09/2000,25/06/15009
240,8,31/01/2003,01/02/14794
16,73,04/02/2003,05/01/7819
256,7,29/06/2003,18/06/17655
300,33,09/11/2003,20/05/14156
153,13,15/07/2003,30/07/11872
61,2,05/04/2002,20/12/12153
52,48,07/09/2001,24/08/16574
227,21,15/11/2003,30/06/18802
110,34,05/04/2003,14/07/15605
68,82,30/09/2003,02/02/9854
163,71,31/07/2003,17/01/2096
275,17,31/01/2004,17/12/10706
228,7,23/09/2003,13/12/3742
10,74,22/04/2001,09/11/6432
255,100,17/10/2002,14/12/5465
254,78,17/09/2002,11/06/2533
123,22,11/04/2004,31/05/5749
