idventa,numregistro,iddueno,idasesor,FAquisicion,ValorPropiedad
1,20,132,2,23/06/2009,8654208
2,1,95,7,25/11/2005,9910478
3,81,186,18,09/10/2006,8712148
4,84,208,11,23/02/2002,8230656
5,59,36,49,31/01/2010,8146595
6,50,85,49,23/11/2002,9239235
7,23,234,27,05/10/2005,7939555
8,88,16,48,01/02/2008,2960624
9,25,260,32,15/06/2000,4389626
10,38,114,5,15/03/2008,5599216
11,53,50,23,17/12/2014,2732052
12,55,84,8,10/08/2000,1293590
13,97,14,33,27/04/2008,8668506
14,64,9,2,26/06/2013,8648662
15,62,292,47,22/08/2014,9003709
16,9,182,31,27/02/2009,3317826
17,21,218,4,21/02/2004,7672619
18,55,26,44,02/12/2003,1440252
19,46,152,43,27/02/2001,2591076
20,12,288,39,15/02/2006,2540471
21,27,106,11,26/12/2007,924799
22,48,259,10,11/09/2011,8230325
23,94,86,14,09/07/2000,7403309
24,31,13,31,02/02/2007,2303915
25,26,177,34,24/05/2006,6322039
26,45,1,10,05/08/2012,1513819
27,17,183,27,03/07/2013,4211304
28,51,137,37,19/01/2014,9058163
29,94,156,30,18/10/2010,8345478
30,88,236,35,24/09/2015,9429280
31,61,46,33,04/05/2005,7695379
32,20,147,3,31/05/2015,4786353
33,33,246,9,19/10/2000,4147153
34,2,170,38,30/08/2008,7421994
35,63,106,25,05/03/2005,1657187
36,13,182,16,30/04/2016,6241726
37,10,185,1,31/01/2010,6359810
38,46,241,27,22/08/2005,4105541
39,5,23,32,08/09/2000,8375671
40,97,268,17,26/08/2012,6988282
41,50,60,45,02/11/2002,5101172
42,31,204,6,15/07/2000,6523891
43,91,189,20,22/11/2012,4888843
44,78,201,41,09/01/2005,2192754
45,34,205,45,10/03/2004,7473906
46,92,165,22,15/07/2014,6782414
47,84,189,37,23/06/2009,9288723
48,61,188,28,10/07/2004,6589389
49,14,127,28,24/02/2010,7027726
50,43,104,43,06/06/2014,8355321
51,64,84,16,28/01/2017,5712591
52,90,103,16,23/07/2011,2272096
53,12,89,11,21/06/2015,2983526
54,11,174,25,05/04/2016,2753922
55,12,96,11,08/08/2006,3485648
56,100,216,2,12/03/2005,9991677
57,80,296,15,10/02/2015,6237037
58,100,4,6,18/09/2002,6754303
59,86,36,49,20/04/2016,7790212
60,62,184,49,14/05/2013,7805477
61,59,54,4,14/08/2015,5379365
62,36,87,6,26/06/2012,6390037
63,64,6,32,18/12/2011,2160513
64,53,58,6,17/02/2006,6659816
65,51,49,9,16/08/2007,3939378
66,58,48,50,05/10/2003,5530914
67,86,295,20,08/02/2014,5368577
68,14,86,25,24/03/2005,8339610
69,7,11,33,29/05/2004,6335839
70,22,265,20,07/06/2014,2042582
71,95,88,10,01/12/2015,584369
72,87,52,40,08/07/2016,4003564
73,7,274,50,25/06/2006,2180428
74,76,149,14,26/08/2013,5571063
75,15,296,7,30/05/2013,3664160
76,26,183,12,14/09/2003,7605730
77,29,200,28,26/11/2007,9194382
78,87,129,3,26/03/2009,7767179
79,15,78,2,07/06/2001,4780699
80,62,125,17,13/11/2012,4590754
81,94,263,13,05/01/2010,4008408
82,73,137,24,19/09/2000,8495683
83,98,212,16,20/02/2011,8757275
84,71,50,9,25/02/2009,1436987
85,28,26,42,22/11/2002,3742497
86,73,238,34,19/03/2011,9502703
87,54,250,2,16/04/2017,9484823
88,97,260,2,26/03/2005,4350475
89,42,266,44,13/08/2012,3947218
90,60,206,4,08/02/2006,7890657
91,87,109,19,16/11/2000,1973616
92,69,198,16,29/04/2005,703887
93,3,186,11,09/10/2000,6364257
94,71,246,49,19/09/2013,3967614
95,46,114,6,10/02/2007,3157557
96,27,59,46,17/12/2000,6784428
97,2,93,1,24/08/2003,7687110
98,90,85,19,12/12/2014,4210896
99,100,188,19,30/04/2001,5963660
100,84,28,40,25/03/2001,823143
