numregistro,fecha,precio
1,14/08/2017,3435891
98,28/03/2017,3316010
66,04/03/2018,5097387
70,19/01/2017,6576657
6,17/10/2017,9301923
66,20/10/2016,2432287
54,06/06/2019,710083
92,01/09/2017,2206330
67,05/02/2019,3214993
86,11/02/2017,8574557
37,30/10/2016,5423909
10,06/06/2018,9283732
34,11/01/2018,4912335
67,04/08/2016,3425075
17,06/12/2016,7624262
74,09/09/2017,7002517
5,06/06/2017,5025468
64,07/08/2017,4504737
23,28/01/2017,3410198
94,13/03/2017,7439802
27,25/08/2017,3959025
3,29/09/2018,9077285
41,08/07/2017,512194
21,23/08/2017,8655336
7,05/10/2018,1600597
79,15/06/2017,2196196
71,18/01/2019,5313838
3,12/08/2017,9292624
47,22/12/2016,5712381
60,09/05/2018,9617853
89,27/06/2017,8898839
72,18/10/2017,1056730
35,05/05/2018,9403335
93,23/12/2018,4633339
9,05/11/2016,7662636
98,09/06/2018,9341874
5,03/11/2017,2459983
64,08/10/2018,5367280
6,26/06/2017,3036226
100,07/12/2017,8276788
19,28/04/2019,1960522
36,21/01/2018,632862
86,07/11/2016,3052013
20,23/10/2016,5566899
64,12/07/2017,4562177
71,12/03/2019,7171482
82,24/03/2018,3522552
71,19/11/2016,7872358
99,07/07/2017,8262715
23,15/05/2017,2476242
18,09/06/2018,3507687
82,21/05/2017,6304598
97,02/04/2018,1825241
34,09/05/2019,8608287
9,09/02/2019,6029508
78,31/03/2017,7332406
5,31/05/2019,799250
35,30/04/2017,5157518
86,03/10/2016,6250937
95,30/03/2018,981297
42,31/10/2016,5354225
90,17/05/2018,2663246
84,23/09/2017,8000696
17,12/12/2018,9243828
47,23/07/2016,2753974
81,30/12/2016,2425956
89,10/01/2019,520797
37,17/11/2018,7313477
99,20/12/2018,9469068
33,14/01/2017,6496720
49,13/02/2018,9329184
27,04/01/2019,2324474
25,30/08/2017,7760083
16,07/09/2016,7116109
38,31/10/2017,1018307
17,21/04/2017,6553711
33,02/01/2017,2042117
100,22/08/2017,9897769
76,08/10/2017,2074290
9,29/03/2019,8118941
2,07/05/2019,3571298
4,01/05/2018,8619048
71,21/02/2018,5060701
92,05/05/2019,5145685
74,20/02/2017,6807685
89,10/01/2017,8775536
4,15/03/2017,5529390
15,01/06/2019,6211410
12,30/03/2018,3807460
97,14/07/2017,5084890
67,14/05/2017,6188618
64,28/04/2018,9390480
88,22/06/2018,6639833
8,27/02/2019,1258791
30,14/12/2018,562819
26,04/08/2016,3180097
41,12/11/2016,5992118
40,04/10/2017,2142358
57,10/09/2017,7278629
75,01/07/2018,7472150
99,02/02/2018,2059743
20,14/02/2017,9126373
72,11/05/2017,7670048
73,25/12/2016,2430156
14,06/01/2017,2683974
60,04/07/2017,8290904
13,16/01/2018,5750453
41,03/02/2019,3328826
33,30/05/2018,5125941
21,14/12/2016,2022211
62,13/03/2017,4611788
44,28/02/2019,960116
9,14/05/2017,6348640
91,24/05/2018,1430971
72,20/10/2017,7118588
17,09/08/2018,2716330
32,19/10/2016,2264959
39,14/07/2016,7308169
6,14/03/2018,4118055
87,06/06/2018,6921055
8,03/02/2017,8453694
18,15/10/2017,1601185
75,07/11/2016,2321687
67,15/08/2017,5689823
4,31/08/2017,540059
64,08/08/2018,5260936
56,29/08/2017,9032316
76,04/02/2019,2351927
42,27/04/2017,2888836
58,30/03/2019,5539189
98,17/03/2018,6435683
71,02/12/2016,7499086
13,27/02/2017,6948179
44,06/10/2016,4687149
35,25/08/2017,5722275
79,22/07/2016,8416917
34,27/01/2018,971451
93,02/02/2018,8631862
12,30/09/2018,6154225
41,27/04/2017,9951794
54,07/08/2017,9126850
76,05/06/2017,1405979
74,14/03/2018,4960569
13,02/03/2018,629777
74,04/03/2019,9222902
45,01/07/2017,8116229
33,20/04/2019,9021126
68,06/05/2017,8700709
69,10/10/2016,9560823
76,10/12/2017,9191148
36,01/09/2017,1441598
45,05/10/2016,6639856
1,27/07/2016,7509460
54,28/02/2019,4331663
58,02/11/2017,8503348
23,22/10/2018,8266027
